Date,Rice,Sugar,Cooking Oil,Atta,Milk and Dairy,Ice Cream,Moong Daal,Ghee,Dry Fruits,Cold Drinks,Toor Daal,Urad Daal
3/1/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/2/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/3/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/4/2025,0,0,0,0,30,0,0,0,0,0,0,0
3/5/2025,0,0,0,0,30,0,0,0,0,0,0,0
3/6/2025,0,0,0,0,50,0,0,0,0,0,0,0
3/7/2025,400,0,0,0,32,0,0,25,0,0,0,0
3/8/2025,0,0,0,0,30,0,0,0,0,0,80,80
3/9/2025,0,0,0,600,50,0,60,0,0,0,0,0
3/10/2025,0,0,0,0,60,0,0,0,0,200,0,0
3/11/2025,0,0,0,0,60,0,0,0,0,0,0,0
3/12/2025,0,800,0,0,40,0,0,0,0,0,0,0
3/13/2025,0,0,0,0,30,0,0,0,0,0,0,0
3/14/2025,0,0,500,0,40,0,60,0,30,0,0,0
3/15/2025,0,0,0,0,50,0,0,0,0,0,0,0
3/16/2025,0,0,0,0,45,0,0,0,0,0,0,0
3/17/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/18/2025,0,0,0,0,40,0,0,0,0,200,0,0
3/19/2025,0,0,0,0,40,0,0,25,0,0,0,0
3/20/2025,0,0,0,0,40,0,60,0,0,0,0,0
3/21/2025,400,0,0,0,40,200,0,0,0,0,0,0
3/22/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/23/2025,0,0,500,0,40,0,0,0,0,0,0,0
3/24/2025,0,0,0,0,50,0,0,0,0,0,0,0
3/25/2025,0,0,0,600,45,0,0,0,0,0,0,0
3/26/2025,0,0,0,0,40,0,0,0,0,0,0,0
3/27/2025,0,0,0,0,40,0,60,0,0,0,80,80
3/28/2025,400,0,0,0,40,0,0,0,30,0,0,0
3/29/2025,0,0,0,0,40,200,0,0,0,0,0,0
3/30/2025,0,800,0,0,40,0,0,25,0,0,0,0
3/31/2025,0,0,0,0,40,0,0,0,0,300,0,0
4/1/2025,0,0,0,0,40,0,0,0,0,0,0,0
4/2/2025,0,0,0,0,40,0,60,0,0,0,0,0
4/3/2025,0,0,0,0,40,0,0,0,0,0,0,0
4/4/2025,0,0,0,600,40,0,0,0,0,0,0,0
4/5/2025,0,0,400,0,40,0,0,25,0,0,0,0
4/6/2025,0,0,0,0,50,200,0,0,30,0,0,0
4/7/2025,0,0,0,0,40,0,0,0,0,0,80,80
4/8/2025,0,0,0,0,50,0,60,0,0,0,0,0
4/9/2025,800,0,0,0,50,0,0,0,0,0,0,0
4/10/2025,0,0,0,0,50,0,0,0,0,0,0,0
4/11/2025,0,0,0,0,40,0,0,0,0,0,0,0
4/12/2025,0,0,0,600,50,0,0,0,0,0,0,0
4/13/2025,0,0,0,0,50,0,60,30,30,0,0,0
4/14/2025,0,0,0,0,50,200,0,0,0,0,0,0
4/15/2025,0,0,400,0,50,0,0,0,0,0,0,0
4/16/2025,0,0,0,0,40,0,0,0,0,0,0,0
4/17/2025,0,400,0,0,30,0,0,0,0,0,80,80
4/18/2025,0,0,0,0,30,0,0,30,0,0,0,0
4/19/2025,0,0,0,0,30,0,0,0,0,0,0,0
4/20/2025,0,0,0,0,40,0,60,0,0,0,0,0
4/21/2025,0,0,0,0,50,0,0,0,0,0,0,0
4/22/2025,0,0,0,0,50,0,0,0,30,300,0,0
4/23/2025,0,0,0,0,40,0,0,0,0,0,0,0
4/24/2025,0,0,0,0,40,200,0,0,0,0,0,0
4/25/2025,0,0,200,0,50,0,0,0,0,0,0,0
4/26/2025,800,0,0,400,50,0,0,10,0,0,0,0
4/27/2025,0,0,0,0,50,0,60,0,0,0,0,0
4/28/2025,0,0,0,0,50,0,0,0,0,0,0,0
4/29/2025,0,0,0,0,50,0,0,0,30,0,80,80
4/30/2025,0,0,0,0,40,0,0,0,0,0,0,0
